"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"SIL-4";1;"CONN_4";;;
2;"X1";"HC-49V";1;"CRYSTAL";;;
3;"U1";"DIP-40__600_ELL";1;"P8X32A";;;
4;"R1";"R3-5";1;"10K";;;
5;"P8";"PBBB*";1;"BBB_P8";;;
6;"P9";"PBBB*";1;"BBB_P9";;;
7;"U2";"DIP-8__300";1;"24C512";;;
8;"U3";"SIL-8";1;"LSM303";;;
9;"R2";"R3-5";1;"240";;;
10;"D1";"LED-3MM";1;"LED";;;
11;"U4";"TO92";1;"TMP36";;;
12;"P2,P3";"SIL-20";2;"CONN_20";;;
13;"1PIN";"1pin";1;"P001";;;
14;"2PIN";"1pin";1;"P002";;;
15;"3PIN";"1pin";1;"P003";;;
16;"4PIN";"1pin";1;"P004";;;
17;"R3,R4";"R3-5";2;"R";;;
18;"P4";"PIN_ARRAY-6X1";1;"CONN_6";;;
